ID;Futuro;Faltas;Dever;Gosta_escola;Notas;Alcool;Inalantes;Sexo;Idade;Ano_escolar;Autoeficacia;Intromissao;Antisocial
416;Sim, eu penso em ser engenheiro mecanico, mas tem uma coisa eu tenho muita preguiça                                                                                                                             ;1;3;3;2;2;1;2;14;7;3,97;4,95;0,94
417;                                                                                                                                                                                                                ;1;5;3;2;1;1;2;13;8;3,98;2,55;1,02
418;Tendo trabalho e uma familia pra cuidar,                                                                                                                                                                        ;1;5;4;3;1;1;2;11;6;3,98;3;1,17
419;;1;4;3;2;1;1;1;13;6;3,98;3,8;1,12
420;;1;5;5;3;1;1;2;12;7;4;0,97;0,91
421;                                                                                                                                                                                                                ;1;3;5;3;2;2;2;12;7;4;1,07;1,37
422;Sendo veterinário e trabalhando  fazenda do meu pai para ajudar ele para que também eu honre ele                                                                                                              ;1;5;3;1;2;1;2;13;7;4;1,16;1,48
423;Eu imagino que eu vou me formar e trabalhar  profissão que eu quero                                                                                                                                           ;1;3;4;2;1;1;1;13;7;4;1,51;1,62
424;Imagino que eu vo cer saldavel e trabalhar no cerviço de bombeiro e sarva vidas,                                                                                                                                ;3;4;3;2;1;1;2;11;6;4;1,51;1,85
425;Eu imagino minha vida feliz como uma pessoa que estudou muito com um trabalho bom, casada filhos e uma vida realizada que deus me deu,                                                                          ;1;4;3;2;1;1;1;12;7;4;1,96;0,96
426;Um futuro bem sucedido                                                                                                                                                                                          ;1;4;4;2;1;1;1;14;9;4;2,24;2,05
427;me imagino formada e com um bom emprego                                                                                                                                                                         ;1;5;4;3;1;1;1;13;9;4;2,27;1,07
428;É, eu me imagino um homem bem sucedido                                                                                                                                                                          ;1;3;3;1;2;1;2;12;7;4;2,93;1,04
429;que eu quero cer da marinha e se muito feliz  minha vida                                                                                                                                                      ;3;3;4;2;2;1;2;13;7;4;3,09;1,05
430;Imagino eu com uma casa própria uma emprego fixo com a profissão que eu gosto e com uma família, com alguém que me ame e dois filhos,                                                                           ;1;4;3;2;1;1;1;13;8;4;3,21;0,92
431;Tacando bola de neve pos meus filhos dentro da minha mansão milhonária (estarei feliz)                                                                                                                          ;1;4;4;2;;1;2;13;8;4,01;2,94;1,68
432;Eu imagino eu trabalhando, tendo uma família muito louca, que faz coisas muito loucas também                                                                                                                    ;2;4;4;3;2;1;2;;9;4,01;3,91;1,56
433;Um engenheiro, com sucesso  vida e saúde, Ou talvez um gamer profissiol,                                                                                                                                    ;1;4;4;2;1;2;2;13;7;4,02;1,17;1,28
434;Bem, boa, agradavel, lucrativa                                                                                                                                                                                  ;1;5;4;3;1;1;2;12;;4,02;2,26;1,03
435;Não imagino se não vou está viva                                                                                                                                                                                ;1;4;4;2;1;1;1;13;7;4,03;3,26;2,62
436;ser medica, ter 2 filhos e um marido exeplar                                                                                                                                                                    ;1;5;3;3;2;1;2;11;6;4,03;3,47;0,98
437;Ser uma boa pessoa, ter dinheiro, um carro e ter um cal no youtube, E ser famosa                                                                                                                              ;1;4;5;;2;1;2;11;6;4,04;1,15;0,98
438;Eu formada, com casa, família e amigos                                                                                                                                                                          ;1;4;5;2;1;1;1;12;7;4,04;2,19;1,53
439;Eu imagino que estarei trabalhando e estudando o curso escolhido por mim                                                                                                                                        ;1;4;4;3;2;1;1;;9;4,04;2,42;1,91
440;imagiva ser feliz, rico se dar de bem com a vida e ser um bom trabalhador etc,                                                                                                                                ;2;2;4;2;1;1;2;13;7;4,04;3,24;1,51
441;eu quero fezer uma faculdade para me especialiar em alguma área, ter minha casa própria etc,,,                                                                                                                  ;1;4;3;;1;1;1;13;8;4,05;0,98;1,61
442;imagino eu trabalhando e compando as coisas que eu precisar, e ajudar meus pais,                                                                                                                                ;1;3;3;1;2;2;1;11;6;4,05;1,36;2,44
443;formado e com emprego                                                                                                                                                                                           ;2;5;4;2;1;1;2;13;6;4,05;1,43;0,94
444;Eu imagino eu com uma vida boa, emprego baca                                                                                                                                                                  ;1;5;5;3;1;1;1;11;6;4,05;2,19;1,35
445;sendo advogada ou juiza ou delegada do caso fazendo direito e ser bem feliz                                                                                                                                     ;1;5;4;2;1;1;1;13;8;4,05;2,78;1,79
446;Eu quero ter um emprego, família, casa carro e etc,,,                                                                                                                                                           ;1;4;3;2;1;1;2;13;9;4,05;2,98;1,81
447;Eu imagino eu mim formando e ajudando minha família com as contas de casa,                                                                                                                                      ;1;4;4;3;1;1;1;11;6;4,06;1;1,22
448;Eu queria que fosse melhor, Tem muito ladrã, etc,                                                                                                                                                               ;1;5;3;2;1;2;1;14;7;4,06;1,63;1,02
449;uma otima advogada colocando todos os bandidos do Brasil                                                                                                                                                        ;1;3;4;1;2;2;2;14;7;4,06;2,47;2,51
450;Eu imagino: uma vida normal,                                                                                                                                                                                    ;1;5;4;3;2;1;2;13;7;4,06;2,76;2,06
451;Eu me imagino um jogador de futebol                                                                                                                                                                             ;1;5;1;3;1;1;2;11;6;4,06;4,79;2
452;                                                                                                                                                                                                                ;1;5;3;2;2;2;1;;9;4,06;5,02;1,49
453;Eu imagino me formando fazendo faculdade, dando orgulho para minha mãe                                                                                                                                          ;1;5;4;3;1;1;1;12;7;4,07;1,47;1,13
454;No futuro quero ser medico e trilhorio                                                                                                                                                                        ;1;4;3;3;1;1;2;12;6;4,07;1,5;1,05
455;Eu gostaria de ser médica                                                                                                                                                                                       ;1;5;4;3;1;1;1;13;6;4,07;1,91;0,97
456;Bem legal e rica                                                                                                                                                                                                ;1;4;3;1;1;2;1;12;7;4,07;2,28;1,42
457;Com um emprego decente que eu tenha uma familia e uma casa própria                                                                                                                                              ;1;4;4;2;1;1;2;13;9;4,07;2,28;1,7
458;Eu pretendo ser um médico e ser solteiro                                                                                                                                                                        ;2;5;3;2;1;1;2;14;9;4,07;2,29;1,49
459;Uma pessoa bem sucedida  vida e feliz                                                                                                                                                                         ;1;5;4;3;2;2;2;;9;4,07;3,42;1,36
460;Não sei muito mas Tenho scerteza que quero ter um bom emprego fazer faculdade etc                                                                                                                               ;1;4;4;3;1;1;2;14;9;4,07;3,94;1,79
461;;2;3;4;2;1;1;1;14;9;4,08;2,79;2,16
462;uma vida calma com boa qualidade para todos da minha família                                                                                                                                                    ;1;4;4;2;2;1;2;14;8;4,09;2,73;1,62
463;eu imagino eu com uma família linda uma casa ou mansão grande com muitos animais e um carro chique,                                                                                                             ;1;4;2;3;2;2;1;13;7;4,09;3,34;2,79
464;Eu imagino eu sendo um grande Biologo com uma renda boa para a minha familia                                                                                                                                    ;1;4;5;2;2;1;2;12;7;4,09;3,75;2,12
465;Ser uma mulher profissiol e desenhista, arquiteta, fashionista                                                                                                                                                ;1;4;4;3;2;2;1;11;6;4,1;2,5;1,52
466;Eu imagino que eu vou fazer faculdade, termir os estudos e arrumar um bom emprego e ter uma familia,                                                                                                          ;1;5;5;2;1;1;1;11;6;4,1;2,58;1,01
467;Eu sendo adivogada e defendendo o certo, o justo                                                                                                                                                                ;1;5;4;3;1;1;1;13;6;4,1;5,03;1,59
468;trabalhando no emprego bom,                                                                                                                                                                                     ;1;5;3;2;2;1;2;12;7;4,11;0,95;2,32
469;Bem sucedida, trabalhando como pediatra, com um marido e com filhos lindos                                                                                                                                      ;1;3;3;1;2;2;1;11;6;4,11;2,93;2,31
470;uma pessoa de bem com a vida                                                                                                                                                                                    ;1;5;4;2;1;1;2;11;6;4,13;1,52;1,45
471;Uma vida bem sucedida                                                                                                                                                                                           ;1;4;4;3;1;1;2;12;7;4,13;1,76;0,95
472;Eu me imagino bem de vida                                                                                                                                                                                       ;1;4;3;3;2;1;1;12;8;4,13;3;2,16
473;boa, com condições finceiras e uma boa saúde                                                                                                                                                                  ;2;4;2;2;2;1;1;13;8;4,14;1,06;1,65
474;Eu imagino eu um homem com diploma so não sei qual imagino minha familia unida alegre, feliz                                                                                                                    ;1;4;5;3;1;1;1;11;;4,14;1,92;1,6
475;Bom no futuro eu gostaria de viver minha vida cantando e mexendo com música,                                                                                                                                    ;1;5;4;2;1;1;1;11;6;4,14;2,01;1,07
476;Muito rico, cheios de mulheres um grande jogador de futebol ou um advogado ou um juiz presitencial,                                                                                                             ;2;4;3;2;2;1;2;14;7;4,14;2,87;1,14
477;Eu imagino ter feito a minha faculdade, trabalha, depois casar ter filhos e ficar com minha família,                                                                                                            ;2;3;3;2;2;1;1;14;9;4,14;4,96;2,21
478;Uma engenheira de sucesso, com muita saúde                                                                                                                                                                      ;1;5;3;3;2;1;1;13;7;4,15;0,9;2,07
479;                                                                                                                                                                                                                ;2;5;4;2;1;1;1;13;6;4,15;1,81;1,51
480;com uma vida bem sucedida e feliz                                                                                                                                                                               ;1;5;4;3;2;1;1;14;9;4,15;2;1,47
481;Uma vida com sucesso, com uma família feliz, uma vida com saúde, um bom casamento e ser feliz com minha família                                                                                                 ;1;5;4;3;1;1;1;12;7;4,16;1,8;1,16
482;Eu imagino que vai ser bom,                                                                                                                                                                                     ;1;4;4;2;1;1;;11;6;4,16;4,59;0,94
483;                                                                                                                                                                                                                ;1;5;4;2;1;1;1;14;9;4,17;1,56;1,25
484;Que eu vou trabalhar, ajudar meus pais, eu não sei mas quero ser  (ilegível) e etc                                                                                                                              ;4;2;3;2;1;2;1;13;6;4,17;3,31;1,27
485;Eu imagino que, eu vou ter uma família grande e saúdavel,                                                                                                                                                       ;1;5;3;3;1;1;1;12;7;4,17;4,83;1,41
486;eu imagino uma pessoa dessente humilde e muito trabalhadora                                                                                                                                                     ;1;5;5;2;1;1;1;12;7;4,18;1;0,94
487;;1;4;3;1;2;2;1;13;8;4,19;1,03;2,78
488;Eu me imagino feliz e feito tudo que eu quero                                                                                                                                                                   ;1;5;4;3;1;1;2;11;6;4,19;1,48;1,32
489;Morando em  país, constituindo a minha família, trabalhando como arqueóloga                                                                                                                                ;1;4;4;1;1;1;1;12;7;4,19;2,05;0,93
490;Uma grande medica legista,                                                                                                                                                                                      ;1;5;3;3;1;1;1;13;7;4,2;3,07;1,02
491;rica e poteroça                                                                                                                                                                                                 ;1;4;4;2;1;1;1;11;6;4,2;4,06;0,96
492;Morando em Barcelo e sendo jogador profissiol de futebol jogando num time muito bom                                                                                                                         ;1;5;3;2;2;1;2;11;6;4,2;4,94;5,04
493;                                                                                                                                                                                                                ;2;5;4;2;1;1;2;14;8;4,21;1,51;1,65
494;Espero estar com um bom trabalho, e boas condições de vida                                                                                                                                                      ;1;5;4;3;2;1;1;14;9;4,21;1,71;1,61
495;"Um advogado, contador assumindo a empresa do meu pais \DOXA\"",";1;5;3;3;2;1;2;14;8;4,21;2,05;1,26
496;Trabalhando andando de carro tendo filhos,                                                                                                                                                                      ;1;5;3;;1;1;2;11;6;4,21;2,19;0,9
497;Sendo um jogador de futebol muito famoso                                                                                                                                                                        ;1;5;4;2;2;1;2;12;7;4,22;1,47;1,14
498;que eu seja legal familiar, amigável com uma vida boa                                                                                                                                                           ;1;5;3;3;1;1;2;13;7;4,22;3,47;1,05
499;Que eu seja um homem bom que tem um trabalho bom e uma mulher boa                                                                                                                                               ;1;3;2;3;1;1;2;11;6;4,23;0,98;1,03
500;Espero que o Brasil melhore por que do jeito que está não dá                                                                                                                                                    ;2;4;4;2;1;1;2;12;7;4,23;1,72;1,66
501;Tenho pretenções de fazer medici e me especializar em estética, então penso que será um futuro prospero                                                                                                       ;1;5;4;3;1;2;1;13;8;4,23;1,81;2,28
502;Com saúde, rica,com Deus, trabalhando com canto                                                                                                                                                                 ;1;4;4;3;1;1;1;13;7;4,23;1,95;1,86
503;Sim, com meu carro, minha esposa, com meus filhos e minha casa e com meu trabalho digno                                                                                                                         ;1;4;4;3;1;1;2;12;7;4,23;2,02;0,97
504;Uma pessoa bem sucedida, com trabalho fixo e família formada                                                                                                                                                    ;2;5;4;3;2;2;1;13;8;4,23;3,22;2,91
505;Uma vida rica de felicidade amor e dinheiro                                                                                                                                                                     ;1;5;5;3;;1;2;13;9;4,23;4;1,77
506;Ainda não                                                                                                                                                                                                       ;1;3;3;1;2;1;2;12;7;4,23;4,47;1,16
507;Eu imagino minha vida normal trabalho te dinheiro achar uma mulher fiel e ter filhos etc                                                                                                                        ;1;4;4;2;2;1;2;14;7;4,24;1,57;1,61
508;Uma atriz de novela e ganhando o oscar de melhor atriz,                                                                                                                                                         ;1;5;4;2;1;1;1;11;6;4,24;2,31;1,21
509;Imagino sem água porque gastamos tanta água hoje em dia que no futuro terá bem pouca                                                                                                                            ;1;5;4;3;2;1;1;11;6;4,24;3;1,55
510;Me imagino trabalhando, com filhos e uma carreira profissiol boa                                                                                                                                              ;2;4;3;2;2;1;2;14;9;4,24;4,27;3,86
511;Família feliz, formado em direito e ganhando bem,                                                                                                                                                               ;1;5;3;2;2;1;2;;8;4,25;2,23;1,46
512;Eu a imagino muito boa, uma casa, duas ótimas profissões, cursos, etc,                                                                                                                                          ;1;5;4;2;2;2;1;14;9;4,25;3,27;1,94
513;Boa e bem sucedida                                                                                                                                                                                              ;1;4;4;2;2;1;2;;8;4,27;1,77;1,8
514;Imagino que vou ser alguém bem sucedida finceiramente, Provalvelmente tudo será mais caro e moderno,                                                                                                          ;1;3;4;3;2;1;1;12;7;4,27;3,81;1,12
515;;1;5;4;2;1;1;1;11;6;4,28;0,98;0,96
516;imagino eu formado e com uma boa familia                                                                                                                                                                        ;1;5;4;3;1;1;2;13;7;4,28;1,84;0,89
517;Bom , pretendo não casar, ter um filho negro, e me forma em medici,  área de crianças com câncer                                                                                                            ;1;4;4;3;2;1;1;12;7;4,28;2,27;2,41
518;com um emprego, ganhando bem, ajudando a minha família e com uma família nova,                                                                                                                                  ;1;4;4;2;1;1;1;14;9;4,28;3,95;0,98
519;Bem sucedida, realizada no trabalho e acima de tudo feliz                                                                                                                                                       ;1;5;3;3;2;1;1;14;9;4,29;1,72;1,46
520;Eu imagino um lindo lar em que eu vou morar                                                                                                                                                                     ;1;4;4;3;1;1;2;12;7;4,29;2,06;0,97
521;Não posso descrever, é pessoal                                                                                                                                                                                  ;1;5;5;3;1;1;1;12;7;4,29;2,98;1,33
522;Eu me imagino com dois filhos, sendo uma médica bem sucedida, casada e com uma estabilidade boa                                                                                                                 ;1;5;4;3;1;1;2;12;7;4,3;2,27;1
523;Uma médica pediatra ajudando todas as crianças,                                                                                                                                                                 ;1;5;5;3;1;1;1;11;6;4,3;3,01;1,32
524;Eu imagino eu realizando o meu sonho que é seer uma grande modelo profissiol                                                                                                                                  ;1;5;4;2;1;1;1;11;6;4,32;1,02;0,95
525;Imagino uma vida boa pois vou fazer faculdade, quero ser alguém  vida                                                                                                                                         ;1;5;4;3;1;1;1;12;7;4,32;1,02;1,22
526;Eu me imagino um designer de games                                                                                                                                                                              ;1;5;3;2;1;1;2;14;9;4,32;1,21;1,76
527;Me imagino bem sucedida e reconhecida por aquilo que faço                                                                                                                                                       ;1;5;3;2;2;1;1;13;7;4,32;2,29;2,5
528;uma Meninas muito exemplar com um bom emprego junto com as pessoas que amo minha família,                                                                                                                        ;1;5;5;3;1;1;1;12;7;4,32;3,9;1,61
529;Eu me imagino um jogador de futebol e tambem um empresario                                                                                                                                                      ;1;5;4;3;1;1;2;11;6;4,33;2,03;1,15
530;Eu me imagino bem sucedida, com a minha casa própria, Com um emprego que me agrada e com meus velhos amigos                                                                                                     ;1;4;4;3;2;1;1;14;9;4,33;2,22;1,54
531;Casada, com uma pessoa maravilhosa, com 2 a 4 filhos, seguindo uma carreira artística ou trabalhando em um emprego ótimo, etc,,,                                                                                ;1;5;4;3;2;1;1;14;9;4,33;2,26;1,62
532;Uma vida longa com um bom emprego é o que eu imagino                                                                                                                                                            ;1;4;3;3;1;1;2;13;8;4,33;2,74;1,36
533;Com uma profissão que ganhe bem para que eu sege muito rica                                                                                                                                                     ;1;5;5;3;1;1;1;12;7;4,34;2,7;1,07
534;Minha vida vai ser muito boa vou ser um web desing mas um mundo no futuro não reino,                                                                                                                            ;1;2;3;2;1;1;2;11;6;4,34;3,49;2,35
535;Rico, feliz, saudável                                                                                                                                                                                           ;1;4;5;2;1;1;2;12;6;4,35;1,03;0,96
536;Uma boa mulher com boa condições e que seja reconhecida como uma pessoa do bem                                                                                                                                  ;1;5;3;3;1;1;1;11;6;4,35;1,06;1,56
537;Eu me imagino com uma profisso boa ganhando bem e feliz                                                                                                                                                         ;1;5;3;3;1;1;1;12;7;4,35;1,22;0,95
538;formada em direito                                                                                                                                                                                              ;1;3;4;1;2;1;1;14;9;4,35;1,34;1,4
539;Eu imagino que eu esteje trabalhando que eu possa cuidar dos meus pais e ter uma boa casa                                                                                                                       ;1;5;5;1;1;1;1;11;6;4,35;2;0,94
540;Não sei dizer, nem imagino como minha vida será                                                                                                                                                                 ;1;4;2;2;1;1;2;12;7;4,35;2,19;1,54
541;Imagino que seja ótima, quero me forma, ter meu trabalho e minha casa própria                                                                                                                                   ;1;5;4;2;1;2;1;11;6;4,35;3,26;0,95
542;Eu imagino com minha clínica veterinária aberta, com meus estudos completos e bem feliz                                                                                                                         ;1;5;3;2;1;1;1;13;7;4,36;1,15;2,04
543;Ser um psicologo                                                                                                                                                                                                ;1;5;4;2;1;1;2;12;6;4,36;1,34;1,13
544;imagino uma sentista formada com sua propria casa cuidando do meu pai nulugar dele cuidar de mim,                                                                                                               ;1;3;4;2;2;1;1;14;7;4,37;1,93;1,36
545;Uma vida bem sucedida eu espero                                                                                                                                                                                 ;1;5;3;3;2;2;1;13;8;4,38;4,95;1,83
546;Muito bem                                                                                                                                                                                                       ;2;5;1;2;2;1;2;14;7;4,38;5,01;1,27
547;Ou eu tenho meus filho casar e ter uma familia muito amada por deus                                                                                                                                             ;1;5;5;2;2;1;1;13;7;4,39;3,96;1,03
548;Toma lu ser medica ter minha familia meus filhos ''ilegivel'' a carreira                                                                                                                                        ;1;5;5;1;1;1;2;12;6;4,39;4;0,98
549;Eu me imagino rica, com dois ou um filho e médica que estudou em alguma faculdade america,                                                                                                                    ;1;5;5;3;1;1;1;12;7;4,4;1,98;2,29
550;Uma pessoa boa rica vou ajudar sempre as crianças                                                                                                                                                               ;1;5;4;2;1;2;2;13;6;4,41;1,2;1,03
551;eu sendo jogador de futebol                                                                                                                                                                                     ;1;5;4;2;1;1;2;11;6;4,41;2,57;1,09
552;Ser formar em Gastronomia, e ser bem sucedido  minha carreira                                                                                                                                                 ;1;4;4;2;2;1;1;13;8;4,41;3,2;1,41
553;Sonhos e planos realizados, uma vida boa e feliz, formada e com muita saúde,                                                                                                                                    ;1;4;4;3;2;1;1;14;9;4,42;1,59;2,15
554;Eu gostaria de ser feliz, bem sucedida, realizada, completa e grata,                                                                                                                                            ;1;5;4;3;2;1;1;14;9;4,42;2,22;1,28
555;Um trabalho bom e onesto, dinheiro soficiente para sustentar e sair com minha família etc?                                                                                                                      ;1;4;5;3;2;1;2;12;7;4,42;3,63;1,18
556;Boa, pois estou estudando para ser alguém                                                                                                                                                                       ;1;5;4;2;1;1;1;14;8;4,43;1,31;0,9
557;Imagino, eu casada, formada em uma boa faculdade, ganhando um bom salario, e com filhos                                                                                                                         ;1;5;5;3;1;1;1;12;7;4,43;1,44;1,07
558;eu me imagino uma grande atriz ou comandante de bordo                                                                                                                                                           ;1;4;4;3;1;1;1;11;6;4,43;2,02;1,02
559;Eu imagino boa mais eu não fico dando certeza do meu futuro porque eu não sei o dia de amanha                                                                                                                   ;1;5;4;2;2;1;1;13;7;4,43;2,78;1,33
560;muito boa e maneira                                                                                                                                                                                             ;1;5;3;3;1;1;2;11;6;4,43;3,58;1,01
561;Eu imagino que eu vou ser pediatra,                                                                                                                                                                             ;1;4;4;2;1;1;1;11;6;4,44;3,79;0,93
562;Me imagino uma bióloga, com estabilidade finceira, ajudando meus pais e viajando pelo mundo,                                                                                                                  ;1;4;4;;1;1;1;13;8;4,45;1,76;1,12
563;Em boa condição de vida, trabalhando e etc,,,                                                                                                                                                                   ;1;5;4;2;1;1;1;13;8;4,46;1,1;0,98
564;uma pessoa feliz, cozinehira que adora comer                                                                                                                                                                    ;1;5;3;3;1;1;1;11;6;4,46;2,25;1,38
565;as vez eu penso que pode ser dificil e s vez penso que vai ser facil, mais estou indecisa a relação há isso,                                                                                               ;1;5;4;2;1;1;;12;6;4,46;2,47;1,14
566;Que eu ajude muito cahorros e que viajo por muito lugares                                                                                                                                                       ;1;5;5;3;1;1;1;13;6;4,46;4,66;1,3
567;Como um homem rico, estudarei para vencer a vida, inventarei uma fabrica de ascessorios                                                                                                                         ;1;4;5;2;2;2;2;12;7;4,47;4,79;1,92
568;Casar, ser advogada ou delegada,                                                                                                                                                                                ;1;5;5;2;2;2;1;11;6;4,49;1,28;1,08
569;Diferente do passado                                                                                                                                                                                            ;1;5;4;2;2;1;2;14;9;4,49;1,67;1,28
570;"Que eu seja uma pessoa \bela\"",";1;5;4;3;1;1;1;12;7;4,49;1,7;1,08
571;um homem de grande sucesso e de família                                                                                                                                                                         ;1;5;4;2;1;1;2;13;8;4,49;4,19;1,26
572;ser veteriria ter carrão e uma caso                                                                                                                                                                         ;1;5;3;2;2;1;1;;9;4,49;4,92;3,22
573;Sendo Atriz ou pediátra                                                                                                                                                                                         ;1;5;4;3;1;1;1;12;7;4,5;1,31;0,93
574;ser uma médica, ajudar minha família, ajudar as pessoas que precisa de ajuda e etc,,,                                                                                                                           ;1;5;4;2;2;1;1;12;6;4,5;1,51;1,18
575;Eu me imagino casado e com 2 filhos                                                                                                                                                                             ;1;5;4;2;1;1;2;12;7;4,5;1,53;0,95
576;Um grande biólogo marinho                                                                                                                                                                                       ;1;3;4;2;1;1;2;12;7;4,5;4,86;1,14
577;Eu trabalhando como arquologa casada sem filho nenhum                                                                                                                                                           ;2;5;2;2;1;1;1;11;6;4,51;5;2,29
578;Eu formada, com uma família bem estruturada                                                                                                                                                                     ;1;5;4;3;1;1;1;12;7;4,52;1,9;2,42
579;Eu podendo me engressar em uma faculdade logo após, ir trabalhar  área que eu me especializar, aí somente depois construir familia,                                                                           ;1;5;4;3;1;1;1;14;9;4,52;4,01;1,14
580;Eu imagino que assim eu primeiro vou batalhar para ter o meu dinheiro depois vou ter minha propria casa depois vou ter minha familia                                                                            ;1;5;5;3;1;1;1;11;6;4,53;1,64;1,17
581;Um grande soldade                                                                                                                                                                                               ;1;5;3;3;2;1;2;11;6;4,53;1,97;1,09
582;Com muitas Conquistas é com alegria,                                                                                                                                                                            ;1;4;3;2;1;1;2;13;6;4,54;2,5;1,39
583;Casada, rica, com uma carreira de sucesso, uma boa cas, um bom carro, e com filhos em uma boa escola,                                                                                                           ;1;5;4;2;1;1;1;13;8;4,55;1,08;1,01
584;Eu me vejo como uma arquiteta de sucesso                                                                                                                                                                        ;1;4;4;1;1;1;1;14;7;4,55;4,04;1,84
585;Muito legal, eu ainda morando com meus pais                                                                                                                                                                     ;1;4;5;2;1;1;1;12;7;4,56;1,5;1,3
586;Coisas boas, tipo ser rica ter do bom e do melhor e etc,,,ser muito feliz                                                                                                                                       ;1;4;5;2;1;1;1;11;7;4,57;1,75;1,31
587;O mundo todo teclologico com robo carros [,,,] e muitas coisas eletronicas,                                                                                                                                     ;1;5;3;3;1;1;2;14;7;4,57;2,19;1,26
588;Uma pessoa bonita, ter dinheiro para ajudar meus pais no que eles precisarem,                                                                                                                                   ;1;5;3;3;1;1;1;12;7;4,58;2,87;1,81
589;Casada, boa de situação, com emprego ótimo e etc,,,                                                                                                                                                             ;1;5;4;2;1;2;1;12;7;4,59;2,17;0,92
590;Com muita saúde, esperança para toda a minha vida                                                                                                                                                               ;1;5;4;3;1;1;1;11;6;4,6;1,1;1,01
591;eu imagino um pais de maravilhas porque eu quero estudar para eu ser um bom juiz de tribul                                                                                                                    ;1;5;4;3;1;1;1;11;6;4,6;1,98;1,06
592;Eu me imagino, como um arquiteto, ou alguma coisa do tipo                                                                                                                                                       ;1;4;4;3;1;1;2;12;7;4,6;2,24;0,96
593;a vida vai ser mais avançada novas tecnologias                                                                                                                                                                  ;1;4;3;3;1;2;2;11;6;4,6;3;1,59
594;Casando com filhos medico ajudado a minha mãe                                                                                                                                                                   ;1;5;4;2;1;1;2;12;6;4,63;1;1,55
595;Boa que vai ser melhor                                                                                                                                                                                          ;1;3;5;2;1;1;2;11;6;4,63;1,21;1
596;Eu imagino um futuro melhor do que estamos e espero que as próximas gerações tenha uma vida melhor                                                                                                              ;1;5;5;3;1;1;1;12;7;4,63;1,46;1,23
597;Não sei exatamente mais quero ser uma professora ou uma spicóloga, Quero ter uma vida bem sofisticada para eu dar uma vida melhor aos meus pais,                                                                ;1;5;4;2;2;1;1;12;7;4,63;2,79;2,11
598;Termindo minha faculdade arrumando um bom emprego                                                                                                                                                             ;3;5;3;2;2;1;2;14;7;4,64;2,06;1,32
599;Bom, eu quero uma vida boa e radical quero me formar ter um trabalho que não me ocupe muito o meu dia pois quero conher (sic) o mundo                                                                           ;1;5;4;1;1;1;2;12;7;4,65;2,53;1,43
600;Não sei ainda, Imagino varias coisas boas para o meu futuro,                                                                                                                                                    ;1;5;5;3;1;1;1;11;6;4,65;3,46;1,87
601;Eu me imagino eu como biólogo salvando animais e pesquisando eles                                                                                                                                               ;1;4;2;3;1;1;2;12;7;4,66;1,96;1,03
602;Sou de bilogicas por isso me prepararei para ser medico no futuro, e tambem um cargo em casa como escritor me imagino casado com doutorado para cardiologista                                                   ;1;4;4;3;1;1;2;11;6;4,66;4,21;1,19
603;uma juiza, com uma vida finceira boa e ser super independente                                                                                                                                                 ;1;5;4;3;1;1;1;13;7;4,67;0,93;1,15
604;Com uma vida sustentavel e como trabalho de médico                                                                                                                                                              ;1;5;4;3;1;1;2;11;6;4,67;1,24;0,91
605;um homem bonito se formado tendo um emprego muito bom casa carro familia uma esposa muita bonita e filhos,                                                                                                      ;1;5;5;2;1;1;2;12;7;4,68;1,06;1,05
606;sendo uma pessoa trabalhadora, e fazendo o bem pra pessoas,                                                                                                                                                     ;1;5;4;3;1;1;1;13;8;4,68;3,25;1,83
607;Me imagino trabalhando em um serviço agradavel, viajando muito e até mesmo com alguém ou com filhos                                                                                                             ;1;5;4;3;2;1;1;;9;4,69;1,03;1,12
608;Normal eu vou estar trabalhando e cuidando dos meus familiares                                                                                                                                                  ;1;4;2;2;2;2;2;11;6;4,69;1,72;2,15
609;imagino sendo uma artista grafico Ou desenvolvedor de games (faço curso)                                                                                                                                       ;1;5;4;3;1;1;1;13;8;4,7;1,17;1,39
610;Que eu me forme tenho um trabalho e quero ser bem sucedida                                                                                                                                                      ;1;4;4;3;2;2;2;12;6;4,7;3,3;3,17
611;Bem sucedida, e me formando, (Me olhando no espelho e falando caramba sou muito rica)                                                                                                                          ;1;5;4;2;2;1;1;13;8;4,71;1,97;2,59
612;Eu imagino um futuro bem organizado, eu sendo uma otima profissiol                                                                                                                                            ;1;5;5;3;1;1;1;12;6;4,71;2,46;0,91
613;Sendo formada, tendo minha casa, meu carro e minha família                                                                                                                                                      ;1;5;4;3;1;1;2;14;9;4,72;2,49;1,28
614;Ser rico                                                                                                                                                                                                        ;1;5;4;3;2;2;2;11;6;4,72;2,96;1,29
615;Um futuro maravilhoso e brilhantes                                                                                                                                                                              ;1;5;4;3;2;1;1;13;8;4,73;1,49;1,7
616;legal                                                                                                                                                                                                           ;1;5;4;3;1;1;;11;6;4,73;1,8;1,27
617;bom, eu imagino que meu futuro nunca repetir de ano, eu fazer faculdade e ajuda a minha família                                                                                                                 ;1;5;3;3;1;1;1;12;6;4,73;4;0,95
618;Eu imagino que eu vou ser uma profissa vou ter minha casa e meu carro                                                                                                                                           ;1;5;5;3;1;1;1;11;6;4,74;1,04;0,96
619;Eu quero ser um médico proficiol, Com muito dinheiro e ter uma família boa pra mim,                                                                                                                           ;1;5;4;2;1;1;2;11;7;4,74;2,74;1,12
