ID;Futuro;Faltas;Dever;Gosta_escola;Notas;Alcool;Inalantes;Sexo;Idade;Ano_escolar;Autoeficacia;Intromissao;Antisocial
75;eu quero ser veteririo ou arquiologo                                                                                                                                                                          ;1;4;4;2;1;2;2;12;7;2,9;2,51;1,48
76;O maior mestre pokémon                                                                                                                                                                                          ;1;3;2;1;2;2;2;14;7;2,9;3,01;3,62
77;Vários aparelhos melhores que hoje e que seja tudo automático                                                                                                                                                   ;1;3;1;2;1;1;;14;7;2,9;3,25;1,36
78;;4;5;3;1;1;1;1;13;6;2,9;4,22;2,01
79;No meu futuro eu imagino estar com casa nova, carro novo, bom trabalho, estar formado e ter muita saúde                                                                                                         ;1;5;3;3;1;1;2;13;7;2,9;;1,21
80;com diversão e clara riquezas                                                                                                                                                                                   ;1;3;3;3;1;1;1;11;6;2,9;;1,42
81;Bem sucesidido (sic)  vida                                                                                                                                                                                    ;1;2;2;2;2;1;2;14;9;2,92;4,3;2,29
82;Ser um skatista profissiol, ter termido os estudos,                                                                                                                                                         ;4;3;3;1;2;1;2;13;;2,93;3,51;2
83;"Eu me imagino cantando em shows lotados com dois filhos e uma mulher gente boa, da \zoeira\""";1;4;5;1;2;2;2;14;9;2,95;2,24;3,42
84;Ser um pesquisador, cientista, com minha própria empresa para a contribuição das novas descobertas científicas,                                                                                                 ;4;3;3;2;1;1;2;14;9;2,95;2,42;3,05
85;Formado e aproveitando a vida                                                                                                                                                                                   ;2;3;4;3;2;1;2;14;8;2,95;2,97;1,98
86;Eu imagino ser jogador ter saúde pra brincar com meus filhos                                                                                                                                                    ;1;4;3;2;2;1;2;;9;2,96;2,52;1,01
87;Eu imagiva trabalhando de veterinária ou arquiteta, ter uma casa grande e meus filhos e meu marido                                                                                                            ;1;3;3;3;2;2;1;13;7;2,96;4,01;1,32
88;Eu me imagino feliz, Com meus estudos termindo e minha familia formada,                                                                                                                                       ;1;4;3;2;2;1;1;13;8;2,97;1,55;3,02
89;uma pessoa de sucesso                                                                                                                                                                                           ;1;3;3;2;2;1;2;13;7;2,97;3,56;1,72
90;;3;3;3;1;2;1;2;13;7;2,98;1,45;1,81
91;Com uma familia unida, formada em medici e casar com a pessoa certa para mim,                                                                                                                                 ;1;5;4;1;1;1;1;12;7;2,98;1,73;2,05
92;                                                                                                                                                                                                                ;1;3;4;2;1;2;1;14;9;2,98;1,98;1,82
93;Eu acho que eu você um policial                                                                                                                                                                                 ;1;5;3;2;1;1;2;13;7;3;1,01;1,06
94;eu muito velho com uma irmã jovem junto com os meus pais,                                                                                                                                                       ;1;4;5;2;1;1;2;11;6;3;1,24;1,02
95;;1;3;3;2;2;1;2;12;6;3;1,31;1,86
96;                                                                                                                                                                                                                ;1;4;4;2;2;1;2;14;7;3;1,74;1,84
97;não penso no futuro, penso só no presente                                                                                                                                                                       ;1;3;3;2;1;1;2;13;8;3;2,24;2,12
98;Eu me imagino bem de vida                                                                                                                                                                                       ;1;3;3;2;2;1;2;;9;3;2,28;2,72
99;Uma vida com os sonhos realizados, uma vida com um histórico de Batalha, uma vida boa com muitas conquistas e dificuldades Também, porque só conquistamos algo com esforço e dedicação,                         ;2;5;4;2;1;1;1;;9;3;2,66;2,59
100;Eu quero ser rico, e ajudar minha família, e comprar uma ferrari,                                                                                                                                               ;1;3;3;2;2;1;2;14;9;3;3,29;2,62
