"ID";"Futuro";"Faltas";"Dever";"Gosta_escola";"Notas";"Alcool_vida";"Inalante_vida";"Sexo";"Idade";"Ano_escolar";"Autoeficacia";"Intromissao";"Antisocial";"Num_char_futuro";"Futuro2"
174;"Bom, imagino conseguir concretizar todos as minhas metas e sonhos de um futuro Bom a minha familia                                                                                                              ";.;5;4;2;"Não2";"Não1";1;14;9;"3,27";"2,27";"1,53";208;"BOM, IMAGINO CO"
176;"Uma vida boa sem preucupação tranquila, vivendo sucegado,                                                                                                                                                       ";.;2;3;2;"Não2";"Não2";2;14;9;"3,29";"1,18";"2,24";208;"UMA VIDA BOA SE"
177;"uma boa estabilidade finceira, trabalhando com algo que eu goste e etc,,                                                                                                                                      ";.;2;3;2;"Não2";"Não1";1;13;8;"3,29";"1,51";"1,8";206;"UMA BOA ESTABIL"
178;"Boa eu com minha família e meus pais                                                                                                                                                                            ";.;2;3;2;"Não1";"Não1";2;12;7;"3,3";"1,71";"1,43";208;"BOA EU COM MINH"
179;"Eu quero ser médica e ter uma vida normal                                                                                                                                                                       ";.;5;4;1;"Não1";"Não1";1;12;7;"3,3";"2,05";"1,02";208;"EU QUERO SER MÉ"
180;"Eu imagino eu trabalhando e dando uma vida melhor para minha mãe                                                                                                                                                ";.;5;4;2;"Não2";"Não1";1;12;7;"3,3";"3,46";"1,41";208;"EU IMAGINO EU T"
181;"Eu quero no meu futuro ser professor de educação física                                                                                                                                                         ";.;2;3;2;"Não1";"Não1";2;13;7;"3,31";"1,38";"1,08";208;"EU QUERO NO MEU"
182;"Que no futuro eu vou ter uma condição melhor e vou ajudar meus pais que são muito legal e etc,,,                                                                                                                ";.;4;4;2;"Não1";"Não1";1;11;6;"3,31";"1,97";"1,04";208;"QUE NO FUTURO E"
183;"eu imagino que no futuro eu vou ter que vencer  vinda e procurar uma vinda melhor para a familia,                                                                                                             ";.;2;3;2;"Não2";"Não1";2;.;6;"3,31";"3";"0,93";206;"EU IMAGINO QUE "
184;"Legal, pretendo fazer uma boa faculdade e sem (sic) bem sucedida                                                                                                                                                ";.;4;3;3;"Não2";"Não2";1;13;7;"3,31";"3,77";"3,13";208;"LEGAL, PRETENDO"
185;"Ter um bom emprego uma boa mulher e ter uma vida,                                                                                                                                                               ";.;3;4;2;"Não1";"Não2";2;12;7;"3,31";"4,75";"0,95";208;"TER UM BOM EMPR"
186;"Eu me imagino formada no curso que eu quero, Tendo a minha casa própria com muitos cachorros,                                                                                                                   ";.;3;3;2;"Não2";"Não2";1;12;6;"3,31";"4,75";"3,28";208;"EU ME IMAGINO F"
187;"Minha vida no futuro vai ser legal pois vou ganhar muita gra,                                                                                                                                                 ";.;4;3;1;"Não1";"Não1";2;12;7;"3,32";"0,95";"1";206;"MINHA VIDA NO F"
188;"sendo ator, sendo cantor e apresentador                                                                                                                                                                         ";.;4;1;3;"Não1";"Não1";2;13;7;"3,32";"3,51";"2,23";208;"SENDO ATOR, SEN"
189;"me imagino morando fora do brasil, rica e com dois filhos e um marido                                                                                                                                           ";.;3;4;2;"Não2";"Não1";1;13;8;"3,32";"4,21";"1,67";208;"ME IMAGINO MORA"
190;"ser policial                                                                                                                                                                                                    ";.;.;5;2;"Não2";"Não1";2;14;6;"3,33";"1,23";"0,97";208;"SER POLICIAL   "
191;"um jogador de futebol ou desenhista                                                                                                                                                                             ";.;3;2;1;"Não2";"Não1";2;.;9;"3,33";"2,51";"2,11";208;"UM JOGADOR DE F"
192;"Fazer agronomia, ter uma casa e uma familia,                                                                                                                                                                    ";.;4;3;2;"Não2";"Não1";1;12;6;"3,33";"4,89";"2,04";208;"FAZER AGRONOMIA"
193;"Uma vida decente, humilde,                                                                                                                                                                                      ";.;3;3;2;"Não1";"Não1";2;12;7;"3,34";"1,82";"1";208;"UMA VIDA DECENT"
